turn number,turn,node number,decition time,move,
   0,white,     229210,   0.048451, White pawn from E2 to E3,
   1,black,     619549,   0.122447, Black pawn from G7 to G5,
   2,white,     792492,   0.176735, White knight from G1 to F3,
   3,black,    1068027,   0.242280, Black pawn from F7 to F6,
   4,white,     633273,   0.148996, White knight from F3 to G5,
   5,black,     219498,   0.051925, Black bishop from F8 to H6,
   6,white,     411034,   0.097912, White queen from D1 to H5,
   7,black,     117992,   0.028429, Black king from E8 to F8,
   8,white,    2823264,   0.686025, White queen from H5 to F7,
   9,black,          0,   0.000001,Checkmate,
