turn number,turn,node number,decition time,move,
0,white,       9627,   0.001719,White pawn from E2 to E3,
   1,black,      13708,   0.002899,Black pawn from G7 to G5,
2,white,      31185,   0.006215,White knight from G1 to F3,
   3,black,      18075,   0.004089,Black pawn from F7 to F6,
4,white,      40778,   0.008895,White pawn from H2 to H4,
   5,black,      86434,   0.020093,Black bishop from F8 to H6,
6,white,    1025964,   0.247903,White pawn from G2 to G4,
   7,black,     339847,   0.086461,Black pawn from C7 to C6,
8,white,    1439607,   0.362990,White bishop from F1 to G2,
   9,black,     390349,   0.102301,Black pawn from E7 to E5,
10,white,   30063982,   8.055187,White pawn from H4 to H5,
  11,black,     133665,   0.036209,Black pawn from D7 to D6,
12,white,    2501844,   0.657437,White knight from F3 to H2,
  13,black,     152831,   0.040645,Black king from E8 to F7,
14,white,     339370,   0.088860,White queen from D1 to E2,
  15,black,     299693,   0.077816,Black queen from D8 to A5,
16,white,     681909,   0.184471,White queen from E2 to F3,
  17,black,     714273,   0.187440,Black knight from B8 to D7,
18,white,    1991778,   0.514143,White rook from H1 to G1,
  19,black,     709287,   0.187759,Black rook from A8 to B8,
20,white,    1148990,   0.297904,White king from E1 to D1,
  21,black,     921789,   0.245604,Black king from F7 to E7,
22,white,    2089110,   0.528149,White king from D1 to E2,
  23,black,    3294650,   0.857924,Black queen from A5 to A6,
24,white,      56795,   0.014611,White king from E2 to D1,
  25,black,     639814,   0.177119,Black king from E7 to E8,
26,white,    9324917,   2.452087,White bishop from G2 to F1,
  27,black,     489526,   0.131414,Black queen from A6 to B6,
28,white,    2455931,   0.622813,White bishop from F1 to D3,
  29,black,     919221,   0.240211,Black knight from D7 to C5,
30,white,   27135966,   7.370759,White bishop from D3 to E2,
  31,black,    1992142,   0.554182,Black knight from C5 to D7,
32,white,    2298641,   0.584429,White queen from F3 to F5,
  33,black,    4410256,   1.175365,Black pawn from A7 to A5,
34,white,    5687465,   1.462824,White queen from F5 to E6,
  35,black,      87491,   0.023396,Black king from E8 to D8,
36,white,     807565,   0.203386,White queen from E6 to D6,
  37,black,    1483091,   0.391126,Black pawn from C6 to C5,
38,white,     503187,   0.126979,White queen from D6 to D5,
  39,black,    1604455,   0.437886,Black bishop from H6 to G7,
40,white,     849605,   0.214280,White queen from D5 to H1,
  41,black,     481414,   0.127171,Black knight from G8 to E7,
42,white,     207482,   0.050570,White pawn from B2 to B3,
  43,black,     439864,   0.113393,Black bishop from G7 to H6,
44,white,     821670,   0.210443,White pawn from C2 to C4,
  45,black,     461951,   0.122741,Black rook from H8 to F8,
46,white,    2600860,   0.660358,White queen from H1 to G2,
  47,black,     658548,   0.168857,Black king from D8 to E8,
48,white,    1816445,   0.445492,White queen from G2 to H3,
  49,black,     214867,   0.056541,Black queen from B6 to A6,
50,white,     449360,   0.115586,White knight from B1 to C3,
  51,black,     569240,   0.145530,Black knight from D7 to B6,
52,white,    1429825,   0.379512,White rook from G1 to F1,
  53,black,     758127,   0.208097,Black knight from E7 to C6,
54,white,     922476,   0.250787,White bishop from C1 to A3,
  55,black,    7518061,   1.990217,Black knight from B6 to D7,
56,white,    2356525,   0.628436,White king from D1 to E1,
  57,black,    8197127,   2.140931,Black knight from C6 to A7,
58,white,    2574226,   0.681632,White knight from C3 to D1,
  59,black,    7035174,   1.759742,Black rook from F8 to H8,
60,white,    1385917,   0.364282,White queen from H3 to F3,
  61,black,    4438596,   1.112289,Black rook from H8 to F8,
62,white,   10824117,   2.745618,White rook from F1 to G1,
  63,black,   19767089,   4.865428,Black rook from F8 to H8,
64,white,    4562980,   1.136286,White queen from F3 to D5,
  65,black,    9496780,   2.417979,Black queen from A6 to B6,
66,white,    9776222,   2.438250,White queen from D5 to F3,
  67,black,   11758711,   2.858843,Black knight from D7 to F8,
68,white,  226309719,  55.547446,White rook from G1 to G2,
  69,black,  114419596,  27.563813,Black king from E8 to E7,
70,white,     236857,   0.063285,White queen from F3 to H3,
  71,black,     639657,   0.172722,Black knight from F8 to D7,
72,white,     196725,   0.050583,White knight from D1 to C3,
  73,black,     135110,   0.035183,Black rook from H8 to E8,
74,white,     111700,   0.028543,White knight from C3 to D5,
  75,black,      60343,   0.017275,Black king from E7 to D6,
76,white,    1859927,   0.511259,White knight from D5 to B6,
  77,black,    1804678,   0.488017,Black knight from D7 to B6,
78,white,     358420,   0.095884,White rook from A1 to B1,
  79,black,     929323,   0.250372,Black rook from E8 to D8,
80,white,     712039,   0.186635,White rook from B1 to A1,
  81,black,     693349,   0.190400,Black bishop from C8 to D7,
82,white,    2111159,   0.574659,White queen from H3 to G3,
  83,black,    3848024,   1.043861,Black bishop from D7 to C6,
84,white,    1058589,   0.284887,White pawn from F2 to F3,
  85,black,     748431,   0.206006,Black rook from D8 to C8,
86,white,     649062,   0.175066,White pawn from D2 to D4,
  87,black,     518638,   0.144821,Black knight from B6 to D7,
88,white,     929046,   0.249313,White rook from A1 to D1,
  89,black,    1635562,   0.436768,Black rook from C8 to G8,
90,white,     827339,   0.228737,White pawn from D4 to E5,
  91,black,      67512,   0.018188,Black king from D6 to E6,
92,white,   38014744,   9.217229,White rook from D1 to D6,
  93,black,     337912,   0.092222,Black king from E6 to E7,
94,white,   17209949,   4.507361,White pawn from E5 to E6,
  95,black,    7256105,   1.902666,Black knight from D7 to E5,
96,white,    9797550,   2.477825,White bishop from A3 to C5,
  97,black,    2669773,   0.698733,Black pawn from B7 to B6,
98,white,    7883791,   2.021322,White rook from D6 to C6,
  99,black,      58918,   0.015334,Black pawn from B6 to C5,
100,white,     202825,   0.053021,White rook from C6 to C7,
 101,black,      69151,   0.019517,Black king from E7 to E6,
102,white,     283281,   0.078304,White rook from C7 to A7,
 103,black,     298256,   0.084857,Black rook from G8 to F8,
104,white,     163194,   0.045860,White rook from G2 to F2,
 105,black,     571628,   0.158496,Black rook from B8 to C8,
106,white,     158286,   0.042837,White pawn from E3 to E4,
 107,black,     325083,   0.089333,Black rook from F8 to G8,
108,white,     124914,   0.033310,White queen from G3 to G2,
 109,black,     149298,   0.041487,Black bishop from H6 to G7,
110,white,      92754,   0.023980,White rook from A7 to A5,
 111,black,     148540,   0.039149,Black pawn from H7 to H6,
112,white,     123545,   0.030962,White pawn from A2 to A4,
 113,black,     115239,   0.030688,Black rook from G8 to D8,
114,white,     110386,   0.028388,White queen from G2 to H1,
 115,black,     128911,   0.033613,Black king from E6 to D7,
116,white,     220990,   0.052430,White pawn from F3 to F4,
 117,black,     363488,   0.089431,Black pawn from G5 to F4,
118,white,     210801,   0.052242,White rook from F2 to F1,
 119,black,      66567,   0.016554,Black rook from D8 to F8,
120,white,     359225,   0.086797,White rook from A5 to A7,
 121,black,      33662,   0.008054,Black rook from C8 to C7,
122,white,     376230,   0.089356,White rook from A7 to C7,
 123,black,       7048,   0.001777,Black king from D7 to C7,
124,white,      33098,   0.007704,White rook from F1 to F4,
 125,black,      65015,   0.015129,Black rook from F8 to F7,
126,white,      55622,   0.012521,White knight from H2 to F1,
 127,black,      37348,   0.008579,Black king from C7 to B7,
128,white,      65121,   0.013894,White queen from H1 to H4,
 129,black,      46167,   0.010803,Black bishop from G7 to H8,
130,white,     107971,   0.024016,White rook from F4 to F5,
 131,black,      55539,   0.013211,Black king from B7 to B6,
132,white,      74982,   0.017163,White knight from F1 to G3,
 133,black,      47822,   0.011835,Black king from B6 to A6,
134,white,      55717,   0.012752,White rook from F5 to F4,
 135,black,      37255,   0.009090,Black bishop from H8 to G7,
136,white,      57834,   0.013244,White king from E1 to D2,
 137,black,      36121,   0.009071,Black king from A6 to A7,
138,white,     110749,   0.025373,White knight from G3 to F5,
 139,black,      52622,   0.012911,Black bishop from G7 to F8,
140,white,     135806,   0.031960,White knight from F5 to G3,
 141,black,      51367,   0.012288,Black bishop from F8 to G7,
142,white,     110749,   0.025337,White bishop from E2 to D3,
 143,black,      46834,   0.011430,Black rook from F7 to D7,
144,white,      14287,   0.003712,White rook from F4 to F6,
 145,black,      50652,   0.013087,Black rook from D7 to D3,
146,white,       8856,   0.002088,White king from D2 to C1,
 147,black,      75230,   0.017638,Black rook from D3 to C3,
148,white,       4409,   0.001150,White king from C1 to D1,
 149,black,      57233,   0.013242,Black rook from C3 to G3,
150,white,      14301,   0.003371,White rook from F6 to A6,
 151,black,      14751,   0.003386,Black king from A7 to A6,
152,white,       2322,   0.000659,White queen from H4 to G3,
 153,black,       9915,   0.002260,Black knight from E5 to D7,
154,white,       9330,   0.001827,White queen from G3 to C7,
 155,black,       6609,   0.001605,Black knight from D7 to E5,
156,white,       6912,   0.001563,White queen from C7 to G7,
 157,black,       3486,   0.000875,Black knight from E5 to C6,
158,white,       4273,   0.000891,White king from D1 to D2,
 159,black,       3878,   0.001014,Black knight from C6 to A7,
160,white,       2310,   0.000518,White queen from G7 to C7,
 161,black,        730,   0.000227,Black knight from A7 to C6,
162,white,       2246,   0.000523,White queen from C7 to C6,
 163,black,        117,   0.000051,Black king from A6 to A7,
164,white,       1294,   0.000265,White queen from C6 to C7,
 165,black,        225,   0.000077,Black king from A7 to A8,
166,white,        526,   0.000116,White pawn from A4 to A5,
 167,black,          0,   0.000000,Stalemate,
