turn number,turn,node number,decition time,move,
0,white,     400,0.000098,White pawn from E2 to E3,
1,black,     668,0.000152,Black pawn from G7 to G5,
2,white,     729,0.000181,White knight from G1 to F3,
3,black,    1050,0.000252,Black pawn from F7 to F6,
4,white,     658,0.000171,White pawn from H2 to H4,
5,black,    4008,0.000943,Black bishop from F8 to H6,
6,white,    7876,0.001956,White pawn from G2 to G4,
7,black,   42049,0.010341,Black pawn from C7 to C6,
8,white,   13058,0.003260,White bishop from F1 to G2,
9,black,   32395,0.008509,Black pawn from E7 to E5,
10,white,   48890,0.012987,White pawn from H4 to H5,
11,black,    2726,0.000699,Black pawn from D7 to D6,
12,white,   34504,0.009570,White knight from F3 to H2,
13,black,    1523,0.000363,Black king from E8 to F7,
14,white,    4384,0.001212,White queen from D1 to E2,
15,black,    4258,0.000997,Black queen from D8 to A5,
16,white,    8441,0.002430,White queen from E2 to F3,
17,black,   64198,0.017312,Black knight from B8 to D7,
18,white,    8419,0.002277,White rook from H1 to G1,
19,black,   67470,0.017961,Black rook from A8 to B8,
20,white,   12453,0.003361,White king from E1 to D1,
21,black,   13486,0.003423,Black king from F7 to E7,
22,white,   19125,0.005116,White king from D1 to E2,
23,black,   17260,0.004342,Black queen from A5 to A6,
24,white,     195,0.000074,White king from E2 to D1,
25,black,   10654,0.002701,Black king from E7 to E8,
26,white,  104548,0.029015,White bishop from G2 to F1,
27,black,   12096,0.003023,Black queen from A6 to B6,
28,white,   29641,0.007635,White bishop from F1 to D3,
29,black,  420099,0.110127,Black knight from D7 to C5,
30,white,  134294,0.038026,White bishop from D3 to E2,
31,black,   71975,0.019553,Black knight from C5 to D7,
32,white,   31197,0.008081,White queen from F3 to F5,
33,black,  132912,0.033206,Black pawn from A7 to A5,
34,white,   59494,0.015706,White knight from B1 to C3,
35,black,   91520,0.023231,Black knight from D7 to C5,
36,white, 1646139,0.448757,White queen from F5 to F3,
37,black,  173658,0.047241,Black pawn from A5 to A4,
38,white,  533394,0.148173,White king from D1 to E1,
39,black, 1141227,0.309329,Black pawn from D6 to D5,
40,white, 3546003,0.946099,White rook from G1 to G2,
41,black, 5282315,1.420640,Black king from E8 to E7,
42,white,  373607,0.103002,White knight from H2 to F1,
43,black,  255357,0.069936,Black queen from B6 to A5,
44,white,  305546,0.081076,White knight from F1 to G3,
45,black,  387495,0.103022,Black king from E7 to D8,
46,white,   85821,0.023124,White pawn from D2 to D3,
47,black,   10008,0.002904,Black pawn from B7 to B6,
48,white,  148482,0.038798,White pawn from E3 to E4,
49,black, 9620253,2.512596,Black bishop from C8 to B7,
50,white,  484122,0.130294,White bishop from C1 to D2,
51,black,  923924,0.242642,Black pawn from D5 to E4,
52,white,  361218,0.101332,White pawn from D3 to E4,
53,black,   52798,0.014643,Black knight from C5 to D7,
54,white,    3562,0.000983,White king from E1 to D1,
55,black,   11313,0.003114,Black queen from A5 to A8,
56,white,    2379,0.000680,White queen from F3 to D3,
57,black,    6067,0.001660,Black rook from B8 to C8,
58,white,    2464,0.000704,White rook from G2 to G1,
59,black,    6821,0.001845,Black pawn from C6 to C5,
60,white,   60566,0.015672,White knight from C3 to B5,
61,black,   11933,0.002945,Black rook from C8 to C6,
62,white,    5042,0.001361,White king from D1 to C1,
63,black,    3537,0.000873,Black king from D8 to C8,
64,white,    6235,0.001624,White rook from G1 to E1,
65,black,    3345,0.000867,Black knight from D7 to B8,
66,white,    4576,0.001197,White pawn from B2 to B4,
67,black,   14942,0.003999,Black bishop from B7 to A6,
68,white,  236261,0.061833,White knight from B5 to D6,
69,black,   99672,0.025358,Black king from C8 to C7,
70,white,  902841,0.239924,White queen from D3 to D5,
71,black, 5910663,1.543048,Black knight from B8 to D7,
72,white,18146277,4.651676,White pawn from F2 to F3,
73,black,61302960,15.068873,Black queen from A8 to F8,
74,white,328136986,80.259030,White pawn from B4 to C5,
75,black, 7190530,1.758277,Black bishop from A6 to E2,
76,white,63236399,15.323897,White rook from E1 to E2,
